Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Erik Compton,86,59.31,2015,288.4,63.18,28.44,60.53,71.228,471,,1,0.469,0.084,-0.216,-0.217,0.047,676602
Scott Piercy,90,59.3,2015,296.7,66.73,28.88,58.63,70.688,"1,127",1,4,0.006,0.329,0.27,0.224,-0.172,2780027
Luke Donald,71,59.28,2015,277,65.57,29.17,61.14,70.555,484,,2,0.289,0.584,-0.793,0.573,0.514,1026643
Carl Pettersson,106,59.05,2015,291.6,63,28.44,62.18,70.866,723,,3,0.335,0.236,-0.038,0.035,-0.097,1186763
Hunter Mahan,88,58.91,2015,295.1,65.79,28.98,59.6,71.124,648,,3,0.39,0.12,-0.023,-0.249,0.003,1617973
Jeff Overton,94,58.87,2015,284.8,65.7,28.78,58.8,70.836,458,,1,0.105,0.091,-0.036,0.041,-0.018,561614
Luke Guthrie,84,58.86,2015,283.9,63.75,28.7,57.57,71.211,373,,1,0.11,-0.037,-0.314,0.02,0.147,575150
Tom Hoge,83,58.84,2015,292.2,66.03,28.9,58.59,70.812,441,,2,0.005,0.415,0.035,0.456,-0.08,690319
Martin Laird,77,58.54,2015,300.5,66.31,29.12,60.17,70.772,628,,3,0.1,0.306,-0.078,0.302,-0.019,1124988
Harris English,105,58.51,2015,298.4,67.05,28.83,61.65,70.235,932,,3,0.56,0.777,0.009,0.207,0,1971687
Justin Thomas,106,58.24,2015,303.2,68.92,28.64,61.55,70.105,"1,007",,7,0.042,0.968,0.352,0.385,0.188,2278564
Michael Thompson,83,58.24,2015,289.3,65.43,29.35,55.36,71.23,378,,1,0.153,-0.195,-0.089,-0.301,0.041,599835
Byron Smith,59,58.15,2015,291.9,68.89,29.84,54.22,71.801,96,,,-0.597,-0.873,-0.085,-0.149,-0.042,153930
Andres Gonzales,90,58.06,2015,294.5,66.67,28.99,55.62,71.427,531,,3,0.177,-0.537,-0.386,-0.349,0.022,925335
Charley Hoffman,97,58.01,2015,298.9,66.19,28.83,58.74,70.613,"1,512",1,6,0.065,0.335,0.47,0.137,-0.338,4041089
Scott Stallings,60,57.74,2015,291.8,65,29.27,54.23,71.961,447,,1,-0.392,-0.558,-0.061,-0.053,-0.052,919619
Jim Renner,68,57.44,2015,283.3,65.24,30.06,54.96,72.431,63,,,-0.995,-1.449,-0.501,0.085,-0.038,90668
Stewart Cink,77,57.35,2015,293.6,72.94,30.14,58.13,70.774,494,,1,0.102,0.468,0.087,0.561,-0.282,694655
Brooks Koepka,84,57.33,2015,308.2,69.48,29.1,56.63,69.861,"1,544",1,8,0.421,1.081,0.407,0.2,0.052,3571900
Patrick Rodgers,57,56.97,2015,307.7,66.77,28.98,56.47,70.619,,,,-0.003,0.129,0.68,-0.456,-0.09,
Chesson Hadley,101,56.87,2015,290.7,63.59,28.68,57.7,71.798,626,,3,0.168,-0.357,-0.08,-0.218,-0.227,1135529
Martin Flores,95,56.83,2015,296.8,68.32,29.6,58.77,70.919,345,,,-0.216,0.038,0.349,-0.142,0.047,449274
Ernie Els,57,56.79,2015,291.7,64.52,29.79,56.59,71.83,233,,,-0.609,-0.6,-0.285,0.192,0.102,453579
Robert Garrigus,70,56.72,2015,301.7,63.97,29.41,53.04,71.774,226,,,-0.697,-0.887,0.345,-0.318,-0.217,253699
Retief Goosen,81,56.57,2015,292.6,62.19,29.04,59.35,71.667,519,,3,0.027,-0.338,-0.271,-0.056,-0.039,921830
Ryan Palmer,80,56.57,2015,305.2,66.81,29,60.57,70.102,817,,4,0.147,0.96,0.356,0.529,-0.072,1974523
Bubba Watson,71,56.55,2015,315.2,69.32,28.96,61.89,69.296,"2,407",2,7,0.212,2.088,1.194,0.684,-0.002,6876797
Max Homa,78,56.45,2015,294.2,62.99,28.85,59.23,71.763,278,,1,-0.11,-0.729,0.066,-0.467,-0.218,380339
Jason Kokrak,88,56.41,2015,305.6,67.3,28.99,58.3,70.654,614,,2,-0.012,0.293,0.464,-0.014,-0.144,1033489
Ryo Ishikawa,90,56.39,2015,289.2,66.41,28.95,55.45,71.246,458,,2,-0.103,-0.051,-0.408,0.436,0.025,851044
D.A. Points,72,56.37,2015,280.8,64.29,29.24,59.78,71.701,244,,,-0.054,-0.451,-0.82,0.224,0.199,390607
Gary Woodland,81,56.21,2015,305.5,66.74,29.53,56.66,70.982,"1,037",,4,0.077,0.198,0.177,0.227,-0.284,2605083
Nick Taylor,91,56.05,2015,292.3,64.41,28.8,58.32,71.716,549,1,1,0.112,-0.377,-0.08,-0.224,-0.185,1072360
