Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,,5,-0.207,1.153,0.427,0.96,-0.027,2680487
Ryan Armour,109,73.58,2018,283.5,68.22,29.31,60.13,70.758,"1,006",1,3,-0.058,0.337,-0.012,0.213,0.194,2485203
Chez Reavie,93,72.24,2018,286.5,68.67,29.12,62.27,70.432,"1,020",,3,0.192,0.674,0.183,0.437,-0.137,2700018
Ryan Moore,78,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,,5,-0.271,0.941,0.406,0.532,0.273,1986608
Brian Stuard,103,71.44,2018,278.9,67.12,29.11,59.23,71.038,421,,3,0.164,0.062,-0.227,0.099,0.026,1089763
Brian Gay,103,71.37,2018,282.9,64.52,28.25,63.26,70.28,880,,6,0.442,0.565,-0.166,0.036,0.253,2152501
Kyle Stanley,93,71.29,2018,295.7,71.09,29.89,54.8,70.404,"1,198",,5,0.037,0.686,0.378,0.298,-0.027,3916001
Emiliano Grillo,94,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,,5,0.546,1.133,0.364,0.345,-0.122,2493163
Russell Henley,77,70.03,2018,293,68.77,29.8,54.33,70.489,569,,3,0.167,0.541,0.093,0.467,-0.186,1516438
Jim Furyk,50,69.91,2018,280.5,63.19,28.73,62.58,70.342,291,,2,0.389,0.412,-0.392,0.179,0.235,660010
Steve Wheatcroft,60,69.79,2018,288.9,66.57,29.29,61.03,71.631,138,,1,-0.128,-0.339,0.112,-0.065,-0.258,309656
Kevin Streelman,94,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,,5,-0.25,0.619,0.439,0.415,0.014,1523642
C.T. Pan,104,68.98,2018,292.7,71.2,29.66,56.89,70.457,693,,1,-0.067,0.478,0.215,0.267,0.063,1881787
David Lingmerth,82,68.93,2018,285.4,63.03,28.5,58.57,71.043,274,,,0.229,-0.007,0.006,-0.16,-0.081,616758
Keegan Bradley,98,67.9,2018,299.6,69.18,29.68,56.78,70.303,872,,4,-0.358,0.793,0.237,0.888,0.026,4069464
Rafa Cabrera Bello,75,67.85,2018,295.1,70.16,29.47,57.98,69.887,784,,4,0.273,1.112,0.256,0.487,0.096,2449869
Billy Horschel,86,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.538,0.352,-0.169,4315200
Russell Knox,94,67.7,2018,291.7,69.57,29.7,59.43,70.568,585,,3,-0.088,0.383,0.059,0.263,0.149,1424030
Ben Crane,65,67.52,2018,281.1,64.88,28.69,63,71.097,267,,1,0.332,0.176,-0.302,-0.038,0.184,620646
Vaughn Taylor,83,67.51,2018,286.1,67.02,29.15,59.91,70.692,445,,3,-0.08,0.219,-0.005,0.305,-0.002,965691
Brian Harman,94,67.14,2018,291.9,67.59,29.29,56.95,70.536,"1,056",,8,0.273,0.29,0.137,-0.024,-0.096,2733463
Sam Ryder,82,66.91,2018,297.3,72.08,29.88,56.47,70.914,442,,3,-0.349,0.154,0.203,0.399,-0.099,1046166
"Ted Potter, Jr.",87,66.83,2018,286,63.03,28.45,57.51,71.024,744,1,1,0.074,-0.094,-0.074,-0.2,0.105,1976198
Austin Cook,107,66.76,2018,292.3,66.51,28.72,62.02,70.469,"1,060",1,3,0.315,0.569,0.12,-0.045,0.179,2448920
Tyler Duncan,97,66.74,2018,294.4,69.65,30.19,52.76,71.04,457,,2,-0.566,0.017,0.273,0.476,-0.166,944021
David Hearn,66,66.63,2018,285.1,68.89,29.58,55.65,71.325,315,,2,-0.127,-0.031,-0.17,0.379,-0.113,622383
Alex Cejka,77,66.49,2018,286.7,63.77,28.52,64,70.675,502,,2,0.009,0.312,-0.024,-0.169,0.495,1198541
Ian Poulter,73,66.41,2018,293.6,67.01,28.97,57.11,70.593,"1,030",1,4,0.223,0.85,0.141,0.435,0.051,2714450
Joel Dahmen,93,66.36,2018,295.8,68.82,29.26,63.31,70.578,676,,3,-0.277,0.4,0.3,0.381,-0.004,1476838
Kevin Kisner,89,66.33,2018,290.8,65.38,28.91,60.29,70.729,971,,4,0.513,0.037,-0.043,-0.316,-0.118,2972285
J.J. Henry,81,66.22,2018,291.8,70.52,30.37,54.77,71.372,239,,1,-0.569,-0.193,0.174,0.34,-0.138,482052
J.J. Spaun,85,66.18,2018,298.2,69.48,29.63,55.76,70.525,849,,4,-0.149,0.292,0.286,0.41,-0.255,1978906
Justin Rose,70,66.02,2018,303.5,69.95,28.67,63.03,68.993,"1,991",2,8,0.424,1.952,0.551,0.526,0.45,8130678
Kelly Kraft,94,65.84,2018,288.6,63.83,28.92,58.93,71.333,627,,3,0.075,-0.32,-0.286,0.017,-0.126,1496253
Conrad Shindler,60,65.77,2018,291.3,66.27,29.14,60,71.465,92,,,-0.166,-0.313,0.114,-0.008,-0.252,187399
Scott Piercy,84,65.68,2018,296.6,69.72,29.86,55.96,70.736,802,1,2,-0.569,0.29,0.209,0.553,0.097,1882337
Adam Hadwin,92,65.6,2018,289.4,68.04,29.26,58.59,70.75,638,,3,0.106,0.596,0.057,0.166,0.267,1932488
Ben Silverman,90,65.56,2018,290.2,64.95,28.74,57.36,71.281,323,,2,0.238,-0.206,0.069,-0.385,-0.128,793140
Satoshi Kodaira,51,65.53,2018,293.6,60.3,29.88,51.02,72.182,600,1,1,-0.645,-1.832,0.027,-0.284,-0.93,1471462
Rickie Fowler,74,65.33,2018,299.8,69.52,28.99,63.05,69.435,"1,302",,4,0.296,1.275,0.244,0.494,0.242,4235237
Xinjun Zhang,81,65.33,2018,298.7,67.04,29.67,58.2,71.486,195,,1,-0.437,-0.734,0.139,-0.254,-0.182,420377
Kiradech Aphibarnrat,51,65.12,2018,294.7,62.2,28.93,55.59,70.629,,,,0.138,0.511,0.485,-0.247,0.135,
Pat Perez,82,65.09,2018,290.9,67.78,29.29,55.63,70.594,"1,116",1,4,0.115,-0.048,-0.063,-0.138,0.037,2962641
Lucas Glover,65,65.06,2018,297.7,67.12,29.64,59.83,71.066,324,,1,-0.186,0.276,0.514,-0.043,-0.008,789382
Richy Werenski,98,65.06,2018,291.8,66.97,29.36,56.49,71.185,498,,2,-0.109,-0.124,0.077,-0.169,0.077,1081283
Hunter Mahan,67,65.04,2018,296.9,68.96,29.02,58.81,71.135,234,,1,0.346,0.209,0.465,-0.149,-0.453,457337
Francesco Molinari,73,65.04,2018,301,70.24,29.63,58.67,69.797,"1,682",2,4,-0.487,1.123,0.69,0.593,0.327,5065842
Fabián Gómez,88,64.99,2018,291.1,67.86,29.38,58.85,71.02,221,,,0.001,-0.106,-0.062,-0.015,-0.03,437032
Tommy Fleetwood,73,64.98,2018,306.9,69.36,29.3,55.77,69.342,"1,130",,5,0.324,1.606,0.58,0.405,0.296,3935147
Graeme McDowell,67,64.92,2018,293.2,64.5,29.2,59.95,71.001,274,,1,0.478,0.697,0.124,0.046,0.049,581024
Louis Oosthuizen,62,64.81,2018,299.8,65.74,29.24,64.26,70.157,620,,3,-0.026,0.521,0.401,-0.261,0.408,1731493
Chad Campbell,87,64.7,2018,286.5,65.54,29.75,59.39,71.683,361,,2,-0.454,-0.484,-0.042,-0.01,0.023,801960
Blayne Barber,69,64.67,2018,294.7,69.98,29.66,57.46,70.835,202,,,-0.022,-0.041,0.101,-0.047,-0.073,398137
Michael Thompson,62,64.66,2018,296.4,70.11,29.62,55.77,70.924,280,,,0.498,0.052,-0.073,-0.423,0.05,563972
Chris Kirk,108,64.64,2018,289.8,68.24,28.9,63.53,70.411,756,,4,0.073,0.732,-0.048,0.518,0.19,1824111
Daniel Berger,81,64.58,2018,297.7,66.89,29.42,58.94,70.32,565,,1,0.319,0.816,0.1,0.543,-0.145,1721763
Hudson Swafford,73,64.57,2018,302.8,68.99,30.03,54.01,71.619,245,,,-0.26,-0.492,0.225,-0.237,-0.221,569391
Bronson Burgoon,69,64.53,2018,302.8,68.44,29.55,55.61,70.701,446,,2,0.107,0.481,0.309,0.371,-0.307,1179616
Brice Garnett,99,64.45,2018,296.7,66.78,29.34,58.63,71.018,634,1,2,-0.076,-0.31,0.188,-0.144,-0.278,1466224
Ryan Blaum,81,64.31,2018,289,66.1,29.13,55.46,70.993,433,,2,0.025,-0.033,0.011,-0.074,0.005,980877
Johnson Wagner,75,64.25,2018,286.1,67.87,28.65,65.41,70.758,338,,,0.623,0.715,-0.213,0.078,0.226,656322
Kevin Na,91,64.13,2018,289.6,64.66,28.07,63.62,70.288,"1,183",1,4,0.533,0.801,-0.378,0.273,0.373,3578316
Zach Johnson,94,63.88,2018,289.8,67.43,28.62,62.35,69.911,839,,2,0.206,1.035,-0.059,0.463,0.425,1957635
John Huh,94,63.83,2018,287.1,65.8,28.82,57.94,70.718,480,,2,0.167,0.251,-0.11,0.24,-0.047,974538
James Hahn,85,63.73,2018,298.7,68.29,29.5,59.62,70.896,596,,1,-0.152,0.279,0.323,0.081,0.028,1386301
Rod Pampling,62,63.69,2018,288.4,62.64,29.31,56.67,72.445,64,,,-0.421,-1.094,-0.095,-0.415,-0.163,183806
Gary Woodland,96,63.69,2018,313.5,70.51,29.93,54.45,70.161,"1,044",1,3,0.007,1.066,0.803,0.484,-0.228,3108907
Cameron Percy,56,63.66,2018,295.6,69.56,29.36,57.3,70.909,191,,2,-0.205,0.285,0.241,0.039,0.21,387612
Abraham Ancer,98,63.64,2018,296.1,66.49,28.91,62.69,70.659,589,,4,-0.056,0.32,0.325,0.074,-0.022,1676695
Ben Martin,64,63.52,2018,289.6,63.98,28.58,58.8,70.974,266,,1,0.118,-0.001,-0.142,0.119,-0.096,532936
Branden Grace,67,63.49,2018,298.9,67.1,29.34,57.78,70.412,590,,2,0.35,0.812,0.163,0.174,0.125,1529289
Denny McCarthy,71,63.45,2018,295.4,68.17,29.41,59.83,70.861,267,,1,0.449,0.094,0.011,-0.347,-0.019,498341
Aaron Wise,90,63.33,2018,302.9,68.81,29.15,56.28,70.247,"1,086",1,3,0.238,0.703,0.41,0.012,0.042,3486407
Jason Dufner,71,63.3,2018,297.1,64.24,29.58,58.25,71.323,557,,2,-0.058,0.011,0.256,-0.009,-0.178,1497655
Matt Kuchar,88,63.27,2018,288,66.81,28.85,63.6,70.461,679,,4,0.348,0.576,-0.199,0.216,0.211,1720097
Martin Laird,73,63.22,2018,299,65.9,28.83,59.15,70.839,443,,3,0.282,0.47,-0.045,0.024,0.209,1017580
Roberto Díaz,72,63.2,2018,286.3,63.73,29.21,58.56,71.731,107,,,0.168,-0.833,-0.165,-0.6,-0.237,235635
Paul Casey,74,63.14,2018,304.3,67.84,29.07,60.58,69.85,"1,319",1,5,0.133,0.966,0.138,0.586,0.109,3641771
Corey Conners,97,62.99,2018,303.3,70.19,29.84,57.52,70.743,353,,1,-0.385,0.193,0.501,0.275,-0.198,728296
Kyle Thompson,50,62.99,2018,285.3,62.44,29.61,54.02,72.673,10,,,-0.75,-1.262,-0.534,0.036,-0.014,24878
Troy Merritt,89,62.93,2018,295.4,65.16,28.74,57.6,70.888,616,1,3,0.077,0.209,0.138,0.086,-0.092,1326989
Andrew Landry,82,62.92,2018,291.1,65.63,28.96,56.97,71.059,"1,116",1,5,-0.01,-0.039,0.206,-0.083,-0.152,2642179
Hideki Matsuyama,75,62.82,2018,302,69.29,29.21,60.8,70.022,607,,2,0.132,1.196,0.194,0.727,0.143,2687477
Brandt Snedeker,84,62.79,2018,293.1,65.04,28.63,60.08,70.379,"1,077",1,4,0.478,0.625,-0.145,-0.026,0.318,2448970
Zac Blair,64,62.76,2018,279.5,66.48,28.97,61.43,71.215,176,,,0.203,0.323,-0.345,0.072,0.394,330507
Danny Lee,88,62.65,2018,290.6,65.05,28.56,60.81,71.196,481,,3,0.156,0.058,0.005,-0.155,0.051,1269386
Charles Howell III,104,62.59,2018,300.9,69.33,29.5,60.87,70.219,885,,4,0.219,0.801,0.324,0.163,0.095,2179725
Adam Scott,78,62.51,2018,304.6,70.66,30.15,54.85,70.42,623,,2,-0.285,0.779,0.3,0.639,0.125,2237641
Tom Hoge,101,62.43,2018,291.4,63.62,28.45,61.41,70.945,594,,3,-0.162,0.074,0.018,0.297,-0.079,1358542
Webb Simpson,95,62.34,2018,293.7,67.93,28.47,66.1,69.293,"1,710",1,7,0.692,1.432,-0.116,0.486,0.37,5376417
Chris Stroud,81,62.24,2018,289.8,62.94,28.78,59.96,71.628,255,,1,0.053,-0.338,-0.277,-0.056,-0.058,565466
Bryson DeChambeau,93,62.23,2018,305.7,69.65,29.18,59.84,69.646,"1,617",1,7,0.346,1.558,0.586,0.556,0.07,8094489
Jonathan Randolph,71,62.18,2018,289.4,60.43,28.63,59.83,71.945,166,,1,0.115,-0.877,-0.271,-0.538,-0.182,453328
Rory Sabbatini,91,62.05,2018,292.3,67.85,29.07,61.36,70.693,521,,1,0.059,0.358,0.217,-0.152,0.234,1126057
Scott Brown,102,62.03,2018,292.6,65.65,29.1,54.79,71.329,422,,2,0.049,-0.661,-0.265,-0.27,-0.175,1076678
Tyrrell Hatton,58,61.84,2018,298.8,66.46,29.2,62.58,70.091,550,,4,0.335,0.938,0.148,0.202,0.252,1943360
Alex Noren,67,61.73,2018,299.2,64.91,28.97,61.74,69.973,989,,3,0.758,1.044,0.208,0.107,-0.029,2699150
Patrick Cantlay,87,61.58,2018,303.1,70.69,29.8,57.58,69.899,"1,388",1,6,-0.182,1.096,0.622,0.509,0.146,3963962
Jordan Spieth,81,61.55,2018,299.8,70.47,29.09,61.63,69.904,945,,5,-0.034,0.83,0.271,0.409,0.184,2793536
J.T. Poston,73,61.53,2018,300.7,68.31,29.07,57.53,70.915,448,,2,0.135,0.138,0.381,-0.373,-0.005,940661
Kevin Chappell,77,61.27,2018,308.6,66.52,29.64,56.28,70.839,597,,4,-0.344,0.323,0.608,0.296,-0.236,1608338
Shane Lowry,64,61.2,2018,300.7,68.65,30.04,53.48,70.754,296,,,-0.286,0.238,0.331,0.245,-0.052,696897
Patrick Rodgers,97,61.14,2018,303.5,65.65,29.1,57.22,70.731,541,,3,0.561,0.232,-0.039,-0.323,0.034,1287040
Whee Kim,93,61.11,2018,285.8,63.55,28.7,58.56,71.477,764,,3,0.427,-0.437,-0.748,0.03,-0.146,1920340
Nick Taylor,94,60.94,2018,292.7,67.65,29.48,61.83,71.269,420,,2,-0.312,-0.235,0.049,0.011,0.017,899373
Bud Cauley,55,60.81,2018,295.4,64.26,28.58,60.12,71.356,405,,2,0.367,0.461,-0.113,-0.032,0.239,900591
Si Woo Kim,108,60.68,2018,290.8,63.78,29,57.23,71.367,893,,5,-0.168,-0.092,-0.014,-0.2,0.291,2276114
Nate Lashley,51,60.58,2018,293.9,68.2,29.32,60.59,70.999,168,,,0.082,0.31,0.111,0.036,0.08,296650
Beau Hossler,104,60.47,2018,300,67.95,28.92,60,70.574,957,,5,0.685,0.584,0.281,-0.395,0.013,2449707
D.A. Points,63,60.47,2018,280.8,60.2,29.1,53.32,73.019,162,,1,0.11,-1.449,-1.069,-0.541,0.051,377265
Brendan Steele,74,60.47,2018,310.3,69.24,30.36,52.56,71.021,998,1,3,-0.576,0.029,0.557,0.243,-0.195,2291128
Nicholas Lindheim,77,60.44,2018,293.5,68.04,29.25,53.9,71.344,272,,1,0.355,-0.323,-0.258,-0.368,-0.052,593842
Andrew Putnam,97,60.42,2018,293.8,70.47,29.36,61.52,70.579,"1,026",1,5,0.052,0.472,-0.146,0.38,0.187,2387382
Jonas Blixt,67,60.3,2018,293.1,62.02,29.1,56.83,72.134,167,,,0.244,-0.547,-0.424,-0.563,0.196,368518
Ethan Tracy,72,60.25,2018,299,64.87,29.44,54.88,72.038,157,,,-0.026,-0.813,-0.054,-0.424,-0.309,364493
Byeong Hun An,86,60.19,2018,307.9,67.99,29.31,61.16,70.19,913,,4,-0.285,0.805,0.475,0.448,0.167,2599264
Marc Leishman,93,60.17,2018,298.5,66.67,28.94,59.07,70.26,"1,148",,6,0.126,0.624,-0.006,0.211,0.292,3771221
Sam Saunders,80,60.14,2018,302.8,65.02,28.73,55.79,70.794,420,,4,0.094,0.226,0.35,-0.081,-0.138,981936
Anirban Lahiri,82,60.09,2018,294,64.7,28.99,58.35,70.66,555,,4,0.199,0.104,0.07,-0.285,0.12,1441205
Sean O'Hair,67,60.09,2018,302.7,63.84,28.97,57.56,71.479,417,,2,-0.207,-0.233,0.211,-0.073,-0.164,1104865
Chesson Hadley,103,60.07,2018,300,67.68,28.99,56.6,70.311,"1,122",,7,0.208,0.859,0.146,0.606,-0.102,2768863
Mackenzie Hughes,80,60.04,2018,294.9,66.01,29.37,54.19,71.282,227,,1,-0.177,-0.014,-0.068,0.353,-0.122,518476
William McGirt,84,59.89,2018,289.3,67.59,29.28,62.86,70.791,449,,3,0.2,0.178,-0.306,0.091,0.194,933327
Xander Schauffele,96,59.77,2018,304.9,65.59,29.18,57.81,70.486,"1,081",,5,0.196,0.644,0.24,0.235,-0.027,4047538
Dustin Johnson,77,59.46,2018,314,70.57,28.47,62.5,68.698,"2,717",3,10,0.385,2.372,0.919,0.829,0.238,8457352
Matt Jones,70,59.38,2018,304.5,66.49,29.02,60.16,71.112,264,,,-0.034,0.104,0.333,-0.386,0.192,538681
Tiger Woods,68,59.35,2018,303.6,67.4,28.49,64.16,69.35,"1,162",,5,0.266,1.596,0.061,0.883,0.385,5443841
Billy Hurley III,70,59.24,2018,284,63.02,29.09,54.93,71.715,73,,,0.025,-0.702,-0.696,-0.17,0.139,145725
Jon Rahm,71,59.2,2018,308.9,70.12,29.14,57.18,69.958,"1,430",1,5,-0.151,0.889,0.817,0.047,0.176,3992678
Ryan Palmer,69,59.11,2018,305.2,65.61,28.92,55.38,71.031,500,,2,-0.528,-0.231,0.235,0.236,-0.174,1484445
Harold Varner III,91,59.02,2018,308.2,67.79,29.56,58.14,70.971,474,,3,-0.024,0.125,0.204,-0.076,0.021,1223064
Harris English,84,58.99,2018,302.4,63.32,28.76,57.86,71.162,383,,2,0.222,-0.184,-0.219,-0.297,0.111,799450
Greg Chalmers,56,58.9,2018,282.8,56.94,28.31,52.85,72.531,133,,1,0.79,-1.266,-0.69,-1.192,-0.174,288023
Stephan Jaeger,81,58.76,2018,299.2,67.11,29.61,56.76,71.356,211,,,-0.144,-0.09,0.045,-0.166,0.175,422260
Jonathan Byrd,70,58.59,2018,291.7,68.19,29.5,58.31,71.398,147,,,-0.106,-0.266,-0.542,0.043,0.339,267055
Keith Mitchell,99,58.59,2018,312.6,69.42,29.65,56.55,70.92,659,,4,-0.504,-0.018,0.706,-0.128,-0.092,1641260
Martin Piller,79,58.51,2018,292.2,60.39,28.52,57.74,71.929,371,,2,0.119,-1.127,-0.248,-0.811,-0.186,847304
Justin Thomas,91,58.41,2018,311.8,68.77,28.33,62.47,69.118,"2,634",3,8,0.272,1.835,0.408,0.844,0.311,8694821
Brett Stegmaier,67,58.38,2018,295.4,70.31,29.48,56.44,71.191,149,,,0.401,0.048,-0.135,0.078,-0.296,305607
Charley Hoffman,87,58.34,2018,299.5,66.53,29.19,56.22,70.521,515,,,0.026,0.425,0.254,0.216,-0.071,1400637
Jason Day,75,58.32,2018,310,65.28,28.24,62.35,69.603,"1,771",2,5,0.77,1.285,0.176,-0.14,0.479,5087461
Bubba Watson,90,58.27,2018,313.1,68.21,29.33,56.64,70.384,"1,879",3,5,0.001,0.555,0.78,0.005,-0.231,5793748
Jason Kokrak,99,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,,4,0.022,0.539,0.36,0.257,-0.101,1794431
Jhonattan Vegas,92,57.91,2018,303.6,65.17,29.43,58.6,71.275,394,,1,-0.059,0.03,0.294,-0.081,-0.124,1137444
Adam Schenk,86,57.67,2018,305.5,67.92,29.95,54.55,71.37,239,,1,0.13,-0.15,0.073,-0.262,-0.091,474923
Stewart Cink,87,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,,3,-0.345,0.465,0.057,0.698,0.055,1887208
Matt Atkins,56,57.5,2018,301.4,63.46,29.12,57.6,72.251,44,,,-0.198,-1.129,0.134,-1.039,-0.027,89104
Talor Gooch,78,57.31,2018,298.9,63.58,28.94,59.53,71.149,308,,,0.031,-0.163,-0.322,0.075,0.053,654200
Bill Haas,76,57.27,2018,296.2,64.79,29.23,60.34,71.028,262,,1,-0.059,0.079,-0.177,-0.052,0.368,638414
J.B. Holmes,77,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,,3,-0.207,0.549,0.565,0.159,0.032,1595942
Cameron Smith,85,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,,5,0.115,0.219,-0.148,0.034,0.218,3622607
Tyrone Van Aswegen,101,56.98,2018,290.3,65.23,28.98,58.08,71.243,364,,1,-0.01,-0.323,-0.493,-0.008,0.187,763584
Jamie Lovemark,92,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,,3,0.01,0.388,-0.101,-0.04,0.519,1377286
Peter Malnati,87,56.86,2018,290.9,62.99,28.07,61.3,70.841,226,,,0.619,0.244,-0.372,-0.257,0.255,420001
Brooks Koepka,64,56.85,2018,313.4,68.28,28.76,63.28,69.444,"2,012",2,5,0.168,1.22,0.658,0.232,0.162,7094047
Sung Kang,89,56.72,2018,293.1,63.2,29.24,52.4,71.954,480,,2,-0.235,-1.041,-0.488,-0.094,-0.225,1243309
Scott Stallings,96,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,,2,-0.07,0.27,-0.008,0.373,-0.025,1147573
Shawn Stefani,76,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,,1,-0.034,0.107,-0.093,0.22,0.013,523204
Robert Garrigus,80,56.37,2018,307.9,65.28,29.2,56.84,71.457,353,,1,-0.569,-0.213,0.21,0.331,-0.186,702030
Nick Watney,94,56.33,2018,307.5,67.96,29.26,55.68,70.862,491,,1,0.2,0.343,0.17,0.141,-0.167,1402833
Rob Oppenheim,74,56.26,2018,285.2,64.05,28.91,59.55,71.532,148,,,0.045,-0.542,-0.662,0.026,0.05,279019
Grayson Murray,72,56,2018,307.3,62.5,28.94,54.32,72.091,438,,2,-0.35,-0.336,0.375,-0.347,-0.015,1056628
Rory McIlroy,64,55.79,2018,319.7,66.3,28.46,62.97,69.303,"1,154",1,5,0.06,1.412,0.761,0.269,0.322,4410296
Dominic Bozzelli,65,55.69,2018,297,60.94,28.18,58.86,71.179,190,,,0.308,-0.055,-0.244,-0.252,0.133,391634
Patton Kizzire,92,55.59,2018,298.7,69.04,29.53,55.24,70.841,"1,386",2,4,0.03,-0.033,-0.294,0.381,-0.15,3541151
Matt Every,79,55.5,2018,294.2,64.59,29.24,52.51,72.044,113,,1,-0.364,-1.139,-0.437,-0.024,-0.314,299162
Cody Gribble,71,55.45,2018,301,62.48,28.88,53.3,72.112,141,,,0.201,-0.819,-0.212,-0.696,-0.111,302593
Wesley Bryan,69,55.41,2018,280.4,61.28,28.1,60.17,71.552,219,,,0.36,-0.454,-1.443,0.222,0.407,498166
Lanto Griffin,80,55.27,2018,302.5,67.42,29.42,55.76,71.145,175,,,-0.096,-0.268,-0.046,-0.043,-0.084,358380
Retief Goosen,60,55.22,2018,296.2,61.75,29.12,56.98,71.409,261,,1,-0.411,-0.497,-0.392,0.389,-0.083,545364
Seamus Power,86,55.19,2018,302.6,65.17,28.68,63.8,70.869,377,,2,0.498,0.178,0.076,-0.392,-0.003,791018
Charl Schwartzel,65,55.19,2018,299.5,61.11,28.74,57.88,71.349,528,,3,0.081,-0.195,-0.035,-0.168,-0.073,1710179
Patrick Reed,94,55.11,2018,298.1,63.57,28.33,62.94,70.106,"1,555",1,7,0.164,0.947,0.051,0.187,0.545,5006267
Tony Finau,105,55.09,2018,315.1,70.18,29.03,57.22,69.52,"1,509",,8,0.232,1.435,0.481,0.5,0.222,5620138
Trey Mullinax,75,54.94,2018,318.3,65.38,29.13,54.42,70.815,528,,3,0.072,-0.072,0.506,-0.442,-0.207,1184245
Martin Flores,92,54.92,2018,300,66.34,29.36,54.89,71.458,215,,,-0.289,-0.567,-0.097,-0.083,-0.098,449266
Michael Kim,74,54.89,2018,289.9,60.63,28.54,56.05,71.662,675,1,1,0.259,-1.003,-1.023,-0.213,-0.027,1379736
Brandon Harkins,101,54.79,2018,303.1,65.67,28.86,55.88,70.721,528,,3,0.225,0.275,0.181,-0.006,-0.124,1148115
Zecheng Dou,53,54.76,2018,291.9,63.72,30,51.56,72.773,21,,,-0.667,-1.198,-0.079,-0.265,-0.187,90993
Tom Lovelady,87,54.73,2018,315.9,67.08,29.56,52.08,71.252,332,,2,-0.049,-0.19,0.379,-0.24,-0.279,700783
Daniel Summerhays,51,54.69,2018,287.1,56.79,27.82,54.86,73.177,89,,1,0.736,-2.105,-0.977,-1.586,-0.277,234510
Luke List,98,54.66,2018,314.6,68.36,29.45,58.41,70.229,"1,080",,5,-0.467,0.87,0.795,0.194,0.349,2710736
Robert Streb,78,54.11,2018,292.6,64.94,29.51,52.89,71.905,155,,1,-0.081,-0.581,-0.68,0.096,0.084,411606
Andrew Yun,51,53.58,2018,290.6,61.85,30.2,44.01,73.624,16,,,-0.6,-1.936,-0.457,-0.447,-0.432,41566
Jimmy Walker,81,53.49,2018,299,61.9,28.34,59.09,70.786,719,,4,0.324,0.357,-0.437,0.304,0.166,2027312
Aaron Baddeley,84,53.27,2018,295.3,63.39,28.85,61.09,70.85,342,,1,-0.057,0.309,-0.345,0.117,0.595,725928
Derek Fathauer,84,53.27,2018,289.1,60.35,28.46,54.99,71.827,316,,1,0.363,-0.807,-0.757,-0.365,-0.048,708712
Peter Uihlein,83,52.93,2018,302.2,67.88,29.41,57.87,70.578,593,,4,0.021,0.268,0.132,-0.04,0.156,1797715
Phil Mickelson,90,52.91,2018,300.3,64.88,28.11,58.36,70.098,"1,546",1,6,0.51,0.931,-0.225,0.555,0.091,4595187
Kevin Tway,110,52.61,2018,310.1,66.88,29.15,56.77,70.8,577,,3,0.052,0.329,0.271,0.032,-0.026,1379544
Ollie Schniederjans,91,52.22,2018,301.4,62.77,28.44,56.95,70.641,573,,3,0.325,0.254,-0.41,0.09,0.25,1303610
Cameron Tringale,67,51.99,2018,289.3,65.52,29.81,55.24,72.146,88,,,-0.104,-1.019,-1.351,0.348,0.088,179459
Ricky Barnes,65,47.15,2018,290.6,63.75,28.25,57.4,71.663,164,,1,0.338,-0.365,-1.019,0.059,0.257,340591
Ryan Armour,63,72.73,2017,278.8,69.96,29.88,58.31,70.965,222,,1,-0.029,0.107,0.02,0.121,-0.005,443006
Boo Weekley,75,71.67,2017,289.9,68.65,30.29,56.31,71.476,173,,1,-0.954,-0.323,0.634,0.425,-0.429,416929
Brian Stuard,93,71.49,2017,272.3,63.59,28.92,57.99,71.72,285,,,-0.137,-0.343,-0.34,0.171,-0.164,588806
Jim Furyk,54,70.75,2017,270.1,65.72,29.36,61.03,71.071,232,,1,0.187,-0.023,-0.491,0.492,-0.036,558097
Chez Reavie,98,70.53,2017,284.8,66.91,28.64,63.28,70.244,666,,3,0.417,0.762,0.121,0.375,-0.073,1819207
William McGirt,89,70.06,2017,284.8,67.23,29.61,57.08,71.151,499,,3,-0.025,-0.067,0.257,-0.193,-0.137,1225005
Francesco Molinari,75,69.8,2017,291.9,67.22,28.91,62.95,69.802,"1,010",,5,-0.089,1.418,0.483,0.842,0.128,2875850
Zac Blair,105,69.7,2017,272.7,64.7,28.87,65.5,71.007,364,,1,0.035,-0.044,-0.155,-0.141,0.218,788352
Søren Kjeldsen,58,69.21,2017,273.6,62.02,29,51.64,71.39,283,,1,0.473,-0.182,-0.424,-0.09,-0.142,722913
