STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
ALABAMA,2002,726367,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949,496146,9715,55499,58690,57576,45521,467993,206159,683867,,257,480,489,451,3704,1825,,,558,429,471,433,3913,1800,,,1632,1111,875,395,8973,2418,,,19430,21912,20597,14590,172138,72468,,,33622,34758,35144,26652,279265,124648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2003,727900,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662,432279,1852,56541,57323,59663,42005,466920,205907,674679,12,244,436,544,368,3726,1795,5533,12,557,503,493,414,4141,1936,6089,58,1886,1329,1024,418,10399,2805,13262,1243,19656,21267,21733,14131,170850,73695,245788,527,33943,33690,35805,26640,276899,125439,402865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3446426,261.9390222,207.0838476,261.8708721
ALABAMA,2004,730418,5356113,625666,2971520,1758927,5450269,2875595,1580654,433522,449619,1994,56964,56182,59286,42672,462799,208383,673176,5,249,486,561,426,3752,1838,5595,23,620,552,519,459,4518,1993,6534,100,2081,1496,1167,508,12044,3333,15477,1214,19546,20423,21647,14353,168320,74755,244289,652,34468,33225,35392,26926,274165,126464,401281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2005,729342,5889966,665924,3247562,1976480,5904664,3053380,1744013,462605,511944,2623,58692,55919,59643,43452,466164,212414,681201,18,278,444,506,398,3590,1836,5444,60,638,590,617,444,4692,2124,6876,84,2540,1651,1390,652,13939,3878,17901,1443,20015,19769,21841,14738,167819,76639,245901,745,34899,33322,35217,27182,274947,127681,403373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0712362,262.2111,207.752033,273.0457572
ALABAMA,2006,743265,6364028,730112,3540436,2093480,6591429,3326656,1983482,485936,666550,3872,58209,56720,59573,44471,466583,214968,685423,27,276,430,546,374,3683,1958,5668,29,657,657,535,463,4917,2301,7247,144,2905,1933,1570,722,15849,4465,20458,1898,19778,19933,21884,15348,166533,77687,246118,1758,34197,33596,34928,27521,274089,128290,404137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2007,743273,7069040,689072,4070949,2309019,7196459,3653466,2174210,546077,687816,3592,55972,57795,58792,46200,466414,216941,686947,23,280,470,527,462,3662,2054,5739,31,673,666,646,516,5311,2421,7763,163,3099,2218,1696,824,17803,5042,23008,1889,18560,20266,21425,15868,164274,78712,244875,1440,32964,33960,34417,28477,273694,128400,403534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.520018,266.0001099,216.3889539,265.6419817
ALABAMA,2008,742919,7726213,711391,4649053,2365769,7847387,3947003,2373070,564746,816799,6470,56205,58593,57809,46763,465403,217590,689463,44,328,441,565,483,3730,2073,5847,70,729,658,627,538,5538,2566,8174,280,3580,2461,1906,952,19589,5650,25519,2728,18061,20226,20544,16311,161925,79199,243852,3291,33085,34572,34057,28427,272780,127753,403824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,2009,745668,7186390,728795,4161103,2296492,7815467,3836398,2331552,561019,924956,7774,57019,59512,57027,48164,464601,219495,691870,42,340,466,512,465,3644,2079,5765,84,798,765,680,660,5818,2685,8587,429,3639,2771,2041,1161,21370,6357,28156,3277,18400,20549,19994,17131,159723,79631,242631,3853,33300,34661,33672,28684,271943,128361,404157,,,,,,,,,,,,,,,,,18,170,221,242,221,1819,1070,2907,24,170,245,270,244,1825,1009,2858,36,388,397,365,323,2933,1324,4293,48,410,368,315,337,2885,1361,4294,215,1882,1418,1099,595,11060,3358,14633,214,1757,1353,942,566,10310,2999,13523,1753,9627,10403,10174,8057,81674,39285,122712,1524,8773,10146,9820,9074,78049,40346,119919,2291,17446,17774,17522,14412,140488,65679,208458,1562,15854,16887,16150,14272,131455,62682,195699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.9626504,268.5241203,216.2733559,267.5774737
ALABAMA,2010,748889,7281058,1134111,3800128,2346819,7647571,3900492,2308399,555539,729720,8179,57665,59117,57992,49719,467768,221940,697887,44,324,441,490,498,3656,2078,5778,98,758,786,697,567,6067,2691,8856,615,4080,3116,2230,1380,23554,7140,31309,3440,18391,20293,20179,17618,159411,80013,242864,3889,33442,34274,34313,29624,273416,129772,407077,5,39,9,11,4,79,16,100,88,631,198,72,28,1585,230,1903,27,156,223,257,255,1839,1064,2930,17,168,218,233,243,1817,1014,2848,57,376,390,337,281,3011,1363,4431,41,382,396,360,286,3056,1328,4425,323,2051,1604,1159,729,12115,3794,16232,292,2029,1512,1071,651,11439,3346,15077,1767,9521,10430,10360,8444,81663,39690,123120,1673,8870,9863,9819,9174,77748,40323,119744,2251,17506,17650,17572,14980,140928,66694,209873,1638,15936,16624,16741,14644,132488,63078,197204,3,19,6,3,1,37,10,50,2,20,3,8,3,42,6,50,46,316,106,35,11,806,116,968,42,315,92,37,17,779,114,935,,,,
ALABAMA,2011,746933,7376725,1077070,3965614,2334041,7411768,3844055,2295909,559140,564183,8282,57602,56491,57919,49510,461122,217615,687019,48,270,490,544,468,3835,2026,5909,97,767,732,733,638,6270,2809,9176,502,4041,2867,2226,1365,23116,7063,30681,3536,18496,19124,20138,17455,155424,77047,236007,3959,32620,32759,34012,29472,268225,127903,400087,5,43,30,19,15,210,70,285,135,1365,489,247,97,4042,697,4874,27,153,243,262,249,1901,1021,2949,21,117,247,282,219,1934,1005,2960,55,404,362,397,325,3149,1400,4604,42,363,370,336,313,3121,1409,4572,287,2119,1463,1149,714,11829,3743,15859,215,1922,1404,1077,651,11287,3320,14822,1864,9338,9729,10227,8201,79560,38347,119771,1672,9158,9395,9911,9254,75864,38700,116236,2284,17206,16906,17688,14934,138300,65655,206239,1675,15414,15853,16324,14538,129925,62248,193848,1,19,9,15,10,105,36,142,4,24,21,4,5,105,34,143,72,701,251,131,45,2039,349,2460,63,664,238,116,52,2003,348,2414,231.286019,269.0965158,220.2734133,257.3835093
