STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
CONNECTICUT,2013,517812,10319361,434543,3870444,6014374,9758850,5562212,2966636,359881,487318,16922,38274,39810,41460,40775,321966,169038,507926,48,95,110,121,121,899,509,1456,850,1958,2014,1882,1706,15749,6902,23501,4426,9676,8537,8090,6570,69870,31752,106048,2636,4830,4993,5349,5048,40662,22527,65825,8378,20365,23168,25150,26706,186474,104210,299062,26,36,32,27,28,274,175,475,558,1314,956,841,596,8038,2963,11559,21,58,54,56,53,420,254,695,27,37,56,65,68,479,255,761,443,1013,1003,922,825,7786,3374,11603,407,945,1011,960,881,7963,3528,11898,2347,4998,4394,4086,3371,35737,16323,54407,2079,4678,4143,4004,3199,34133,15429,51641,1423,2455,2559,2766,2608,20992,11830,34245,1213,2375,2434,2583,2440,19670,10697,31580,4698,10699,11998,12914,13702,96172,53543,154413,3680,9666,11170,12236,13004,90302,50667,144649,14,20,12,7,15,118,77,209,12,16,20,20,13,156,98,266,287,664,517,420,307,4107,1480,5874,271,650,439,421,289,3931,1483,5685,243.4402974,285.2439723,229.5815994,261.5024557
CONNECTICUT,2014,511082,10743919,420593,4141590,6181736,10201500,5889381,3128453,343615,447290,17987,37654,39699,41165,40018,319247,167790,505024,62,102,111,112,117,842,495,1399,920,2013,2044,1807,1729,15984,7182,24086,4805,9965,9058,8430,6855,72435,32759,109999,2791,4756,4941,5231,5090,40254,22296,65341,8816,19461,22485,24683,25564,180765,101810,291391,26,48,40,39,21,294,140,460,567,1309,1020,863,642,8673,3108,12348,32,45,48,52,55,411,241,684,30,57,63,60,62,431,254,715,506,994,1028,865,846,7948,3529,11983,414,1019,1016,942,883,8036,3653,12103,2610,5109,4561,4314,3417,37129,16772,56511,2195,4856,4497,4116,3438,35306,15987,53488,1461,2479,2555,2696,2590,20705,11696,33862,1330,2277,2386,2535,2500,19549,10600,31479,4869,10153,11432,12829,13162,93276,52238,150383,3947,9308,11053,11854,12402,87489,49572,141008,13,26,22,15,8,144,57,214,13,22,18,24,13,150,83,246,298,657,535,435,319,4416,1571,6285,269,652,485,428,323,4257,1537,6063,,,,
CONNECTICUT,2015,505366,11099837,444073,4353546,6302218,10542667,6006275,3233901,362941,530491,18385,36641,39077,40320,40321,315851,167056,501292,57,111,103,95,119,822,481,1360,1025,2023,2017,1964,1813,16391,7349,24765,5048,9744,9506,8607,7341,75235,34101,114384,2894,4512,5011,5193,4987,39626,21931,64451,8683,18808,21240,23506,25275,174272,99585,282540,33,31,30,27,29,313,150,496,645,1412,1170,928,757,9192,3459,13296,28,58,47,51,60,394,238,660,29,53,56,44,59,428,243,700,597,1029,1008,970,876,8182,3613,12392,428,994,1009,994,937,8209,3736,12373,2731,5070,4865,4396,3671,38512,17495,58738,2317,4674,4641,4211,3670,36723,16606,55646,1503,2307,2592,2648,2552,20393,11562,33458,1391,2205,2419,2545,2435,19233,10369,30993,4829,9807,10898,12167,13016,89793,51298,145920,3854,9001,10342,11339,12259,84479,48287,136620,19,19,20,10,15,161,57,237,14,12,10,17,14,152,93,259,342,715,607,473,393,4630,1747,6719,303,697,563,455,364,4562,1712,6577,240.1594689,283.9566773,228.9475434,268.0732253
CONNECTICUT,2016,499494,11419673,468595,4411204,6539874,10826431,6110631,3307162,380996,620905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2376509,284.1443303,228.3553124,272.5377115
DD,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD,1998,,,,,,,,,,,975,7584,7229,5171,2821,54650,14961,70586,8,65,51,44,17,406,92,506,67,535,622,505,338,4675,1598,6340,51,535,467,337,213,3573,1061,4685,147,1219,1203,851,438,9212,2449,11808,449,3330,3358,2497,1365,25214,7201,32864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,463,8025,8272,8012,6129,67495,28338,96296,1,62,14,18,11,113,53,167,1,126,135,115,132,1079,520,1600,23,273,298,265,182,2179,856,3058,175,2290,2467,2215,1401,19320,7536,27031,263,5274,5358,5399,4403,44804,19373,64440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8999724,262.8685854,206.3890517,261.5779209
DELAWARE,1993,104355,683954,44497,443250,196207,694534,394680,207850,26548,47372,565,8153,8285,8265,5882,67899,28930,97394,0,16,9,19,22,119,94,213,3,114,147,148,120,1159,501,1663,21,307,274,266,173,2316,954,3291,213,2272,2399,2297,1435,19652,7901,27766,328,5444,5456,5535,4132,44653,19480,64461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1994,103782,705798,50572,447430,207796,732323,413915,217782,30320,50805,618,7523,8367,8563,5865,68678,29994,99290,0,11,10,8,9,110,82,192,2,101,152,152,141,1173,557,1732,30,327,298,277,158,2476,1035,3541,229,2154,2446,2439,1467,20269,8399,28897,357,4930,5461,5687,4090,44650,19921,64928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1995,106813,802018,51682,510473,239863,772669,431433,236288,35495,50074,670,7775,8527,8566,6211,68583,31433,100686,1,12,15,15,14,108,67,176,2,112,144,140,144,1191,590,1783,46,402,349,307,188,2779,1137,3962,255,2220,2556,2428,1613,20499,8896,29650,366,5029,5463,5676,4252,44006,20743,65115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1996,108461,860410,48796,567123,244491,823530,447461,245924,34748,72077,597,8002,8329,8820,6447,69382,32568,102547,1,20,15,14,18,122,68,191,8,120,145,174,133,1223,626,1857,42,412,380,362,202,3077,1184,4303,192,2436,2589,2617,1672,21060,9311,30563,354,5014,5200,5653,4422,43900,21379,65633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0251017,266.7336733,212.0025633,
DELAWARE,1997,110245,898926,56722,575855,266349,889631,486550,265674,39021,73946,572,8039,8758,8905,6741,70161,33188,103921,,15,16,14,13,129,57,,3,169,166,167,148,1260,684,1947,40,506,423,385,211,3377,1254,4671,179,2468,2637,2667,1789,21538,9535,31252,350,4881,5516,5672,4580,43857,21658,65865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1998,111428,934530,59955,594617,279958,915207,511618,275898,41035,61153,602,8025,8538,8964,6770,71328,33307,105237,1,19,20,13,11,143,71,215,7,149,162,180,175,1393,729,2129,44,546,441,381,216,3728,1279,5051,168,2444,2631,2639,1773,22197,9613,31978,382,4867,5284,5751,4595,43867,21615,65864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,1999,112320,1004472,61485,646592,296395,960335,529808,291268,42056,70433,716,7779,8685,8957,6490,71779,32562,105057,2,22,18,23,11,157,68,227,9,177,175,176,174,1470,782,2261,44,618,487,407,184,4160,1313,5517,216,2347,2684,2733,1642,22699,9238,32153,445,4615,5321,5618,4479,43293,21161,64899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2000,112743,1098555,69540,716375,312640,1040480,571982,313410,42630,79176,706,7691,8848,9075,7104,72404,33875,106985,2,20,19,39,17,193,84,279,11,168,210,199,206,1624,817,2452,42,679,587,482,240,4675,1447,6164,184,2338,2886,2884,1891,23071,9754,33009,467,4486,5148,5474,4751,42865,21783,65115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.3035584,267.0010285
DELAWARE,2001,112055,1153831,77483,754926,321422,1175717,613955,349525,45976,132922,586,7615,9065,9396,7028,73059,34257,107902,1,37,18,26,15,189,98,288,8,213,237,200,188,1738,848,2594,55,749,642,511,270,5210,1586,6851,170,2284,2971,2856,1862,23310,10136,33616,352,4332,5201,5804,4695,42626,21613,64591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2002,111331,1180255,86532,764350,329373,1246284,645895,352551,51060,154186,665,7761,9007,9961,7178,73795,34121,108581,4,26,17,33,12,221,106,331,14,229,235,217,224,1886,903,2803,62,773,725,670,292,5873,1722,7657,193,2431,3010,3212,1865,24098,9809,34100,392,4302,5020,5829,4785,41717,21581,63690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2003,111282,1242436,91986,794472,355978,1317447,673997,367660,53399,171247,642,7904,9097,10222,7292,74352,34770,109764,3,26,26,28,21,220,117,340,15,224,252,226,207,1944,909,2868,62,888,770,768,306,6421,1915,8398,214,2569,3048,3370,1924,24537,10188,34939,348,4197,5001,5830,4834,41230,21641,63219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.8594245,277.1583689,223.9288114,253.1725937
DELAWARE,2004,111520,1334523,104492,827110,402921,1373416,709545,393664,57010,158252,670,8279,8872,10494,7390,74650,35492,110812,1,25,19,32,30,211,124,336,17,213,250,261,237,2059,955,3031,73,978,854,856,334,6974,2125,9172,180,2674,2893,3676,2079,24928,10639,35747,399,4389,4856,5669,4710,40478,21649,62526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2005,112562,1431710,106513,894498,430699,1480157,761786,424220,62086,172879,680,8511,8896,10492,7555,75448,36298,112426,3,36,41,23,22,237,132,372,21,263,272,277,243,2161,997,3179,60,1148,916,894,358,7498,2394,9952,207,2741,2857,3605,2032,25308,11089,36604,389,4323,4810,5693,4900,40244,21686,62319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.7169124,280.9535428,225.8384591,258.7212747
DELAWARE,2006,114371,1544615,109044,969809,465762,1646885,817872,467410,64658,227679,662,8604,8982,10262,7482,75730,37258,113650,0,44,27,29,30,263,135,398,19,259,288,282,241,2267,1078,3364,76,1173,947,941,413,8034,2647,10757,219,2842,3004,3580,2056,25555,11764,37538,348,4286,4716,5430,4742,39611,21634,61593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2007,114678,1694929,102114,1071957,520858,1705204,825084,481610,68343,245757,583,8817,9085,10176,7681,75619,37555,113757,4,35,32,33,28,261,130,395,26,320,293,324,240,2436,1129,3591,91,1326,1019,943,459,8491,2861,11443,174,2851,3138,3524,2160,25532,11946,37652,288,4285,4603,5352,4794,38899,21489,60676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.7948949,282.9920827,225.0705423,254.8287924
DELAWARE,2008,114062,1694998,104304,1037624,553070,1746925,852701,494996,72590,241390,738,9458,9521,9908,8120,76615,38619,115972,2,40,26,28,32,263,148,413,34,366,320,291,254,2579,1244,3857,127,1490,1138,994,530,9017,3098,12242,218,2952,3184,3471,2503,25903,12623,38744,357,4610,4853,5124,4801,38853,21506,60716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELAWARE,2009,116804,1718993,109682,1047418,561893,1798244,877678,496383,80812,254460,755,9537,9672,9519,8317,77418,39091,117264,1,40,36,34,27,273,136,410,16,339,356,303,315,2714,1324,4054,163,1452,1184,986,597,9330,3386,12879,234,3090,3288,3126,2478,26063,12825,39122,341,4616,4808,5070,4900,39038,21420,60799,,,,,,,,,,,,,,,,,1,18,14,19,14,139,74,214,0,22,22,15,13,134,62,196,11,155,180,155,154,1413,696,2120,5,184,176,148,161,1301,628,1934,104,727,591,509,300,4724,1696,6524,59,725,593,477,297,4606,1690,6355,150,1550,1717,1579,1179,13388,6435,19973,84,1540,1571,1547,1299,12675,6390,19149,240,2416,2498,2523,2401,20175,10915,31330,101,2200,2310,2547,2499,18863,10505,29469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.4905694,283.829473,225.5130868,258.0485802
DELAWARE,2010,117628,1733458,180584,992422,560452,1758988,901200,499586,79328,192826,1626,9810,9797,9504,8464,78843,39124,119593,12,53,45,34,37,410,160,582,47,340,326,311,294,2702,1304,4053,231,1654,1269,1021,710,10379,3724,14334,425,2955,3240,3187,2589,25636,12721,38782,882,4490,4718,4840,4788,38433,20979,60294,2,9,4,6,3,26,11,39,27,309,195,105,43,1257,225,1509,9,31,26,16,15,204,86,299,3,22,19,18,22,206,74,283,27,167,179,148,158,1371,699,2097,20,173,147,163,136,1331,605,1956,149,859,645,500,326,5269,1854,7272,82,795,624,521,384,5110,1870,7062,290,1511,1591,1626,1234,13158,6444,19892,135,1444,1649,1561,1355,12478,6277,18890,599,2310,2507,2518,2446,19949,10706,31254,283,2180,2211,2322,2342,18484,10273,29040,1,6,2,3,1,14,6,21,1,3,2,3,2,12,5,18,15,156,84,56,22,621,101,737,12,153,111,49,21,636,124,772,,,,
DELAWARE,2011,119878,1759170,192182,1010026,556962,1808905,964284,497158,89576,182497,1402,10116,9691,9569,8570,79106,38322,118830,38,39,59,43,36,395,150,583,30,319,378,291,346,2745,1327,4102,202,1687,1412,1052,718,11084,3873,15159,392,2906,3069,3190,2625,25168,12327,37887,706,4823,4574,4847,4779,38034,20313,59053,2,13,6,5,3,52,14,68,32,329,193,141,63,1628,318,1978,26,18,33,22,23,204,77,307,12,21,26,21,13,191,73,276,20,155,186,157,182,1391,700,2111,10,164,192,134,164,1354,627,1991,143,822,764,542,346,5629,1914,7686,59,865,648,510,372,5455,1959,7473,259,1458,1560,1624,1269,12783,6193,19235,133,1448,1509,1566,1356,12385,6134,18652,485,2481,2348,2516,2370,19687,10268,30440,221,2342,2226,2331,2409,18347,10045,28613,0,6,3,1,1,28,8,36,2,7,3,4,2,24,6,32,21,155,99,72,25,793,148,962,11,174,94,69,38,835,170,1016,240.3598324,282.7699664,225.1305111,254.9352183
DELAWARE,2012,118624,1855867,183793,1090060,582014,1915966,1053066,531313,105134,149584,1291,10128,10089,9716,8365,79585,38022,118898,40,49,51,37,26,352,153,545,33,322,377,303,309,2836,1318,4187,214,1742,1579,1210,837,11838,4117,16169,349,2999,3111,3057,2558,24862,12247,37458,619,4622,4782,4921,4576,37658,19777,58054,7,14,2,5,3,65,26,98,29,380,187,183,56,1974,384,2387,25,26,21,20,15,173,81,279,15,23,30,17,11,179,72,266,24,172,190,169,169,1424,696,2144,9,150,187,134,140,1412,622,2043,145,892,784,582,398,5975,2052,8172,69,850,795,628,439,5863,2065,7997,234,1515,1579,1588,1254,12631,6139,19004,115,1484,1532,1469,1304,12231,6108,18454,430,2351,2445,2528,2291,19432,10046,29908,189,2271,2337,2393,2285,18226,9731,28146,4,7,1,3,2,35,13,52,3,7,1,2,1,30,13,46,21,174,89,90,26,944,182,1147,8,206,98,93,30,1030,202,1240,,,,
DELAWARE,2013,118685,1930466,151096,1124112,655258,1924626,1030897,560882,97722,157935,1413,10488,10069,9993,8536,81303,38483,121199,11,40,44,45,36,368,156,535,46,370,375,341,328,2932,1325,4303,248,1899,1559,1290,889,12548,4442,17238,389,3175,3166,3272,2556,25217,12265,37871,679,4564,4661,4796,4655,37813,19756,58248,4,12,9,11,3,80,32,116,36,428,255,238,69,2345,507,2888,7,17,22,22,20,185,89,281,4,23,22,23,16,183,67,254,28,199,160,171,166,1454,699,2181,18,171,215,170,162,1478,626,2122,166,961,790,652,447,6391,2216,8773,82,938,769,638,442,6157,2226,8465,283,1632,1596,1693,1204,12743,6126,19152,106,1543,1570,1579,1352,12474,6139,18719,477,2384,2412,2518,2304,19487,10066,30030,202,2180,2249,2278,2351,18326,9690,28218,2,4,6,7,2,44,18,64,2,8,3,4,1,36,14,52,23,217,126,109,29,1134,238,1395,13,211,129,129,40,1211,269,1493,243.1077582,282.3382986,225.7716512,271.0090869
DELAWARE,2014,120623,1954374,133055,1137764,683555,1988535,1050647,582448,103583,171618,1520,10205,10278,10035,8688,82971,39346,123837,5,43,50,42,32,361,151,517,46,383,403,341,342,3002,1356,4404,251,1856,1763,1309,957,13401,4956,18608,428,3075,3166,3289,2689,25661,12699,38788,751,4389,4506,4804,4561,37833,19491,58075,1,22,12,11,7,91,40,132,38,437,378,239,100,2622,653,3313,4,21,28,20,17,175,87,266,1,22,22,22,15,186,64,251,32,196,186,190,180,1493,722,2247,14,187,217,151,162,1509,634,2157,169,943,916,665,444,6830,2481,9480,82,913,847,644,513,6571,2475,9128,305,1611,1572,1629,1302,12938,6439,19682,123,1464,1594,1660,1387,12723,6260,19106,519,2276,2293,2541,2291,19517,10010,30046,232,2113,2213,2263,2270,18316,9481,28029,1,6,7,9,5,48,22,71,0,16,5,2,2,43,18,61,24,236,189,109,52,1292,318,1634,14,201,189,130,48,1330,335,1679,,,,
DELAWARE,2015,121845,2017075,137544,1142333,737198,1975093,1072395,583951,122741,103129,1553,10040,10533,10090,8782,83409,39845,124807,1,24,39,48,42,344,149,494,57,400,398,378,332,3094,1430,4581,290,1796,1839,1517,1046,14109,5342,19741,369,2948,3102,3190,2688,25363,12643,38375,789,4408,4725,4707,4533,37470,19417,57676,2,9,15,12,9,106,44,152,45,455,415,238,132,2923,820,3788,1,12,18,25,25,169,81,251,0,12,21,23,17,175,68,243,37,198,207,180,174,1509,773,2319,20,202,191,198,158,1585,657,2262,203,913,889,816,527,7178,2703,10084,87,883,950,701,519,6931,2639,9657,249,1538,1563,1650,1319,12871,6391,19511,120,1410,1539,1540,1369,12492,6252,18864,550,2320,2422,2424,2269,19214,10067,29831,239,2088,2303,2283,2264,18256,9350,27845,2,4,6,4,5,45,22,69,0,5,9,8,4,61,22,83,32,237,193,120,57,1474,385,1891,13,218,222,118,75,1449,435,1897,238.6780188,279.8102438,223.6986968,273.0480304
DELAWARE,2016,121225,2043577,134412,1172219,736946,2041952,1126775,588181,130187,104579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
