RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,SALARY,NUMYEARS,FIRSTYEAR,LAST YEAR,TOTALVALUE,AVGANNUAL
1," Ryu, H",LAD,14,5,2.32,29,29,0,0,182.2,160,53,47,17,24,163,0.234,1.01,17900000,1,2019,2019,17900000,17900000
2," DeGrom, J",NYM,11,8,2.43,32,32,0,0,204,154,59,55,19,44,255,0.207,0.97,9000000,5,2019,2023,137500000,27500000
3," Cole, G",HOU,20,5,2.5,33,33,0,0,212.1,142,66,59,29,48,326,0.186,0.89,13500000,1,2019,2019,13500000,13500000
4," Verlander, J",HOU,21,6,2.58,34,34,0,0,223,137,66,64,36,42,300,0.172,0.8,28000000,7,2013,2019,180000000,25714286
5," Soroka, M",ATL,13,4,2.68,29,29,0,0,174.2,153,56,52,14,41,142,0.236,1.11,555000,1,2019,2019,555000,555000
6," Flaherty, J",STL,11,8,2.75,33,33,0,0,196.1,135,62,60,25,55,231,0.192,0.97,562100,1,2019,2019,562100,562100
7," Gray, S",CIN,11,8,2.87,31,31,0,0,175.1,122,59,56,17,68,205,0.196,1.08,7500000,1,2019,2019,7500000,7500000
8," Scherzer, M",WSH,11,7,2.92,27,27,0,0,172.1,144,59,56,18,33,243,0.222,1.03,42142857,7,2015,2021,210000000,30000000
9," Greinke, Z",HOU,18,5,2.93,33,33,0,0,208.2,175,73,68,21,30,187,0.228,0.98,32421884,6,2016,2021,206500000,34416667
10," Kershaw, C",LAD,16,5,3.03,29,28,0,0,178.1,145,63,60,28,41,189,0.222,1.04,31000000,3,2019,2021,93000000,31000000
11," Morton, C",TB,16,6,3.05,33,33,0,0,194.2,154,71,66,15,57,240,0.215,1.08,15000000,2,2019,2020,30000000,15000000
12," Stroman, M",NYM,10,13,3.22,32,32,0,0,184.1,183,77,66,18,58,159,0.257,1.31,7400000,1,2019,2019,7400000,7400000
13," Corbin, P",WSH,14,7,3.25,33,33,0,0,202,169,81,73,24,70,238,0.227,1.18,12916666,6,2019,2024,140000000,23333333
14," Buehler, W",LAD,14,4,3.26,30,30,0,0,182.1,153,77,66,20,37,215,0.223,1.04,570000,1,2019,2019,570000,570000
15," Bieber, S",CLE,15,8,3.28,34,33,0,0,214.1,186,86,78,31,40,259,0.23,1.05,559600,1,2019,2019,559600,559600
16," Strasburg, S",WSH,18,6,3.32,33,33,0,0,209,161,79,77,24,56,251,0.21,1.04,36428571,7,2017,2023,175000000,25000000
17," Hudson, D",STL,16,7,3.35,33,32,1,1,174.2,160,80,65,22,86,136,0.245,1.41,559100,1,2019,2019,559100,559100
